postId,pageName,text,title,subtitle,stars,source,date,latitude,longitude,Brand,Sub-Category
R3IK2FD3TRN61W,Clarks Women's Orinoco Club Short Shaft Boots,Nice boots but should state they are a very narrow fit,"3.0 out of 5 stars
 Very narrow",,3,Amazon Review,2024-02-12T00:00:00.000Z,,,clarks,Boots
R1DDKC5KOS9RGN,Clarks Women's Orinoco Club Short Shaft Boots,"The boots came quicker than suggested. Slightly too tight, quick visit to the cobblers to stretch them. Now perfect","4.0 out of 5 stars
 Comfy boots",,4,Amazon Review,2024-01-26T00:00:00.000Z,,,clarks,Boots
R2LMJ8SR6YA9RL,Clarks Women's Orinoco Club Short Shaft Boots,The boots look really nice but unless you have a very narrow foot .....You won't get your foot inside the boot unfortunately,"3.0 out of 5 stars
 Ankle boots",,3,Amazon Review,2024-01-02T00:00:00.000Z,,,clarks,Boots
R2VASGJHF147EV,Clarks Women's Orinoco Club Short Shaft Boots,"I had a pair of these boots before. Wanted exactly the same and was lucky to get them here. The boots are comfy, elegant, go perfectly with skinny jeans or a cord skirt. I do walk a lot and these boots do not get worn out quickly - the sole, heel or the upper part can really endure miles of walking, which is important to me.","5.0 out of 5 stars
 Comfy boots",,5,Amazon Review,2023-12-28T00:00:00.000Z,,,clarks,Boots
R3K165QI8VYLFE,Clarks Women's Orinoco Club Short Shaft Boots,These are great boots very stylish and very comfortable but would recommend going up 1/2 a size,"5.0 out of 5 stars
 Boots",,5,Amazon Review,2023-12-27T00:00:00.000Z,,,clarks,Boots
RCJQPDFF00K47,Clarks Women's Orinoco Club Short Shaft Boots,"I ordered these as I already have 2 pairs (starting to look a bit faded). Thought I'd treat myself when they dropped in price. I could barely get my foot in them! Checked I hadn't ordered the wrong size and no they were showing correct. Irrespective my foot would not slip in - felt like that scene in The Nutty Professor when he's blowing up and his feet look like fat sausages! I have never tried on a narrower boot in my life. Couldn't work it out, same boots same size but nope my feet were not going in. I have since bought the same boots same size via Ebay (new and same price) and they fit like my other pairs fit! I've no idea why these are ridiculously narrow but unless you have super skinny feet then these are not for you.","1.0 out of 5 stars
 The sizing is incorrect",,1,Amazon Review,2023-12-16T00:00:00.000Z,,,clarks,Boots
R2DLT6GA8T7X26,Clarks Women's Orinoco Club Short Shaft Boots,Ordered half size bigger than i normally need thinking of using winter socks & these boots were just much too small anyway.,"1.0 out of 5 stars
 Bigger is smaller!!",,1,Amazon Review,2023-12-13T00:00:00.000Z,,,clarks,Boots
R1N17TI9VZAIXD,Clarks Women's Orinoco Club Short Shaft Boots,"Loved the boots but they were so hard to pull on my highish instep I will have to return, even en half a size up.","3.0 out of 5 stars
 Sizing",,3,Amazon Review,2023-12-07T00:00:00.000Z,,,clarks,Boots
R1N34WH29RVHL7,Clarks Women's Orinoco Club Short Shaft Boots,Love m&s really good value and very comfortable boots. I have foot issues so these would go as far as relatively orthopaedic! The cushioning inside could be thicker as still get feeling on ball of foot but not the worst. Happy with this purchase and they were delivered really quick,"5.0 out of 5 stars
 So comfortable",,5,Amazon Review,2023-12-04T00:00:00.000Z,,,clarks,Boots
R2CKJBBYP1FEK2,Clarks Women's Orinoco Club Short Shaft Boots,"I have returned one pair already because it looked like a person with a large foot had tried on one of mine and stretched it before I received them.

Now I have returned a second pair because I have given up! After one fairly long walk, once, the first time I wore them, these boots stretched out and went all bumpy and horrible! Exactly like the photo shown in one of the 1* ratings on here. I think some non-Clarks counterfeits could be among the stock of these boot styles.

Initially I thought: They are beautiful but narrow, which is fine for me, but it means I was sent a slightly stretched pair which had been tried on by someone with a wider foot and now they look uneven..

The first Black size 7 I ordered were in PERFECT contition but I couldn't tell if they were real leather and could withstand UK winter weather so I returned them and asked in the Q&A if they were definitely real leather... they are - 'nubuck' to be precise!

So, regretting my decision to return them that afternoon, I immediately re ordered another Black size 7.... sadly, although the soles are clean and label intact, the left foot has definitely been stretched and developed a crease from someone with a wider foot having tried it on and bent their foot in it. With such a sleek, slim fitting style, the wear is immediately noticeable. I have taken a leap of faith in re ordering another Black size 7 pair while I return these...

Looking at the reviews it seems people either LOVE keep these or return them for being to narrow so I really hope I get a fresh - totally unworn, not even 'tried on pair' FINGERS CROSSED!

(I have since updated this as things progressed)","1.0 out of 5 stars
 Nice initially but poor quality - previous customer must have stretched one of mine!",,1,Amazon Review,2023-11-12T00:00:00.000Z,,,clarks,Boots
RN7S5K1MTAPD4,Clarks Women's Orinoco Club Short Shaft Boots,Shoe was good value for money and looks decent. Only issue I found was that the sole was not as comfortable I expected form a Clarks shoe,"4.0 out of 5 stars
 Value for money, but not as comfortable as I expected",,4,Amazon Review,2020-11-24T00:00:00.000Z,,,clarks,Boots
R3AS0G805C9AWV,Clarks Women's Orinoco Club Short Shaft Boots,Love these boots usually but style and fit has changed and so returned. Disappointing as usually best comfy for out.,"3.0 out of 5 stars
 Not so good",,3,Amazon Review,2020-11-23T00:00:00.000Z,,,clarks,Boots
RG8DTJHWW1QMK,Clarks Women's Orinoco Club Short Shaft Boots,"These were really nice boots, but no good if you have wide calves.","3.0 out of 5 stars
 Too tight",,3,Amazon Review,2020-11-22T00:00:00.000Z,,,clarks,Boots
R35NS6GV18M8ZK,Clarks Women's Orinoco Club Short Shaft Boots,I love these so much and they are so comfortable! But I’ve noticed that the seams on the side parts are starting to fray a bit which is unfortunate :(,"4.0 out of 5 stars
 Amazing! With a small drawback",,4,Amazon Review,2020-11-19T00:00:00.000Z,,,clarks,Boots
R36PL09ZCWCHFF,Clarks Women's Orinoco Club Short Shaft Boots,Comfortable from first wear.,"5.0 out of 5 stars
 Nice",,5,Amazon Review,2020-11-19T00:00:00.000Z,,,clarks,Boots
R3I62EUJ3BF1GG,Clarks Women's Orinoco Club Short Shaft Boots,Got these for the mrs for winter she says they are very comfortable.,"5.0 out of 5 stars
 She loves them.",,5,Amazon Review,2020-11-18T00:00:00.000Z,,,clarks,Boots
R3RSJNB23YM3N,Clarks Women's Orinoco Club Short Shaft Boots,"Had to return them back. I’m confused at how these received so many positive reviews, because I found them very stiff to put on and take off. Once my feet were in them I could feel they were true to size but they felt stiff, heavy and hard as rocks therefore very uncomfortable to walk in. I also didn’t like the material, it would easily get scuff marks on them. Very disappointed in Clarke’s, I thought comfort and quality was their main priority but seems like these boots didn’t go through any quality control before going on the market.","1.0 out of 5 stars
 Stiff, feels like rocks",,1,Amazon Review,2020-11-16T00:00:00.000Z,,,clarks,Boots
R1KGPESM13U7A0,Clarks Women's Orinoco Club Short Shaft Boots,A comfortable boot. Snug fit around the heel which suits me just fine.,"5.0 out of 5 stars
 Lovely, comfortable boot",,5,Amazon Review,2020-11-09T00:00:00.000Z,,,clarks,Boots
RKC8T6LJQJB8B,Clarks Women's Orinoco Club Short Shaft Boots,As stated by previous reviews these boots are very narrow and tight to wear. You need very slim feet to get them on a possibly a crow bar to take them off again,"5.0 out of 5 stars
 Great looking, fab colour, just uncomfortable",,5,Amazon Review,2020-10-29T00:00:00.000Z,,,clarks,Boots
R3LUAEJNN9ROAJ,Clarks Women's Orinoco Club Short Shaft Boots,All ok.,"5.0 out of 5 stars
 All ok",,5,Amazon Review,2020-10-29T00:00:00.000Z,,,clarks,Boots
RH4KBO32ZOVZU,Clarks Women's Orinoco Club Short Shaft Boots,Clarks usually means extremely comfortable but in this case my pink has zero room and I’ve got narrow feet so I’m not sure how regular feet survive. It’s also extremely rigid so all my toes hurt within minutes.,"2.0 out of 5 stars
 Tight even for narrow feet",,2,Amazon Review,2023-10-21T23:00:00.000Z,,,clarks,Boots
R2S142YT5FXPA,Clarks Women's Orinoco Club Short Shaft Boots,Very good boots,"5.0 out of 5 stars
 Nice boots",,5,Amazon Review,2023-02-24T00:00:00.000Z,,,clarks,Boots
R19OK3IUA93GO9,Clarks Women's Orinoco Club Short Shaft Boots,"I'm a 6...bought a 6.5, still too small and painfully tight.","1.0 out of 5 stars
 Much too small to get my foot into",,1,Amazon Review,2023-02-08T00:00:00.000Z,,,clarks,Boots
R12ITB6IPIW4W9,Clarks Women's Orinoco Club Short Shaft Boots,Great product - great price,"5.0 out of 5 stars
 Great product - great price",,5,Amazon Review,2023-01-20T00:00:00.000Z,,,clarks,Boots
R287K8P686RZAN,Clarks Women's Orinoco Club Short Shaft Boots,"Lovely boots but very small, I couldn’t even get my foot in them","3.0 out of 5 stars
 Very small",,3,Amazon Review,2022-12-28T00:00:00.000Z,,,clarks,Boots
R3V6PU4DUGJ4Q0,Clarks Women's Orinoco Club Short Shaft Boots,"Fast shipping, good fit, comfy heel - perfect","5.0 out of 5 stars
 Good",,5,Amazon Review,2022-12-09T00:00:00.000Z,,,clarks,Boots
RXR5KIX9GVSK1,Clarks Women's Orinoco Club Short Shaft Boots,The lining in the heel had a ridge that rubbed a blister after just trying the boots on,"2.0 out of 5 stars
 Very uncomfortable",,2,Amazon Review,2022-12-06T00:00:00.000Z,,,clarks,Boots
RYE15U489G4M6,Clarks Women's Orinoco Club Short Shaft Boots,I had to return them as they were so narrow.,"2.0 out of 5 stars
 So narrow, was squashing my feet, returned them.",,2,Amazon Review,2022-11-26T00:00:00.000Z,,,clarks,Boots
R79VCV0ITQO0Z,Clarks Women's Orinoco Club Short Shaft Boots,Did feel a little tight to get feet into first time I wore them but so gave. Been comfortable from the first day I wore them. I walked 10 miles over the course of the day and had no problems. I sprayed them with a waterproofing and had no issues even all this heavy rain. Definitely recommend.,"5.0 out of 5 stars
 Great boots",,5,Amazon Review,2022-11-25T00:00:00.000Z,,,clarks,Boots
REWONYN2QYCZS,Clarks Women's Orinoco Club Short Shaft Boots,Not comfortable and feel stiff and cheap leather. Hopefully they will feel more comfortable once they are worn longer.,"3.0 out of 5 stars
 Feel poor quality",,3,Amazon Review,2022-11-15T00:00:00.000Z,,,clarks,Boots
RB5XZI0F96FB8,Clarks Women's Orinoco Club Short Shaft Boots,I really love the texture on this boot. Pure leather with a nubuck suede appearance.,"5.0 out of 5 stars
 Excellent fit, so no need to go above or below general foot size.",,5,Amazon Review,2022-11-10T00:00:00.000Z,,,clarks,Boots
R3M8Z657TUNBBI,Clarks Women's Orinoco Club Short Shaft Boots,High quality product,"5.0 out of 5 stars
 Great price for lovely boots",,5,Amazon Review,2022-11-02T00:00:00.000Z,,,clarks,Boots
R1WG6BOIHA0MUT,Clarks Women's Orinoco Club Short Shaft Boots,Already had a pair and found the v2 didn't fit - was delighted to find v1 on line and they fit perfectly!,"5.0 out of 5 stars
 They're great!",,5,Amazon Review,2022-10-25T23:00:00.000Z,,,clarks,Boots
R3TQ8YP8LU5M3Y,Clarks Women's Orinoco Club Short Shaft Boots,"These are not a polishable shiny leather, more nubuck leather. This wasn't clear from the description.","5.0 out of 5 stars
 Good fit. Not the type of leather I expected.",,5,Amazon Review,2022-10-24T23:00:00.000Z,,,clarks,Boots
RWV4IVDC9RLVP,Clarks Women's Orinoco Club Short Shaft Boots,"Good, sturdy, solid fit, they look expensive and personally I feel like a boss in them","5.0 out of 5 stars
 My god they are beautiful",,5,Amazon Review,2022-10-18T23:00:00.000Z,,,clarks,Boots
R11RVTTQJD2J1U,Clarks Women's Orinoco Club Short Shaft Boots,These boots are perfect for autumn and winter fit perfectly and I just the right height,"5.0 out of 5 stars
 Great boots",,5,Amazon Review,2022-10-17T23:00:00.000Z,,,clarks,Boots
R3VQFKNYU4BIRG,Clarks Women's Orinoco Club Short Shaft Boots,"High quality, comfort, style and affordable.","5.0 out of 5 stars
 Quality, comfort and style, as you expect from Clark’s.",,5,Amazon Review,2022-10-12T23:00:00.000Z,,,clarks,Boots
RGH6DJJMHZHBP,Clarks Women's Orinoco Club Short Shaft Boots,Great for everyday wear in the town or country walks.,"5.0 out of 5 stars
 Stylish and practical boots",,5,Amazon Review,2022-10-07T23:00:00.000Z,,,clarks,Boots
R2HSFPYLF2FP2B,Clarks Women's Orinoco Club Short Shaft Boots,"Classic boots, i just love them, i have haf several pairs of them, and i wear them all day. They are a bit small, so, i always buy one size up.","5.0 out of 5 stars
 Classic boots",,5,Amazon Review,2022-08-28T23:00:00.000Z,,,clarks,Boots
R231I5RYXW92BX,Clarks Women's Orinoco Club Short Shaft Boots,So far so good. ??. Well I’ve worn these boots and one of the best pairs I’ve purchased to date ????. The only problem I have with these boots are that they are not water resistant,"4.0 out of 5 stars
 Haven’t worn them yet pending",,4,Amazon Review,2022-05-30T23:00:00.000Z,,,clarks,Boots
R2DUQOOOMVTV24,Clarks Women's Orinoco Club Short Shaft Boots,"I bought my first pair of Orinoco boots 20 years ago and have never looked back.
These boots are comfortable and a great fit.
Dressed up or down they never fail to make any trouser outfit look great.","5.0 out of 5 stars
 Great boots",,5,Amazon Review,2022-05-20T23:00:00.000Z,,,clarks,Boots
R1PG6FRI7I76BN,Clarks Women's Orinoco Club Short Shaft Boots,"I’ve had these boots before (bought at a Clark’s) and they were fine from Day 1. But, oh boy. The pair I ordered from Amazon were TIGHT. So tight I left them gathering dust for months on end. It took some serious breaking-in (including blasting them with a hairdryer) to loosen them up. But it’s so worth it - these boots are lovely and very practical. You really could wear them everyday once they’re broken in. The price was great too - definitely value for money.","3.0 out of 5 stars
 Get your thick socks out",,3,Amazon Review,2022-04-28T23:00:00.000Z,,,clarks,Boots
R2GS6O1DRY0310,Clarks Women's Orinoco Club Short Shaft Boots,"These were lovely quality, stylish boots but they were extremely tight across the top of my foot (possibly an issue with my feet rather than the boot) so I had to return them - such a shame","5.0 out of 5 stars
 Nice boots",,5,Amazon Review,2022-04-19T23:00:00.000Z,,,clarks,Boots
R3NA47JQ5U49YE,Clarks Women's Orinoco Club Short Shaft Boots,"Ordered wide fit but couldn’t get my feet in them, returned for a refund","1.0 out of 5 stars
 Awful fit",,1,Amazon Review,2022-04-12T23:00:00.000Z,,,clarks,Boots
R7SZ5D0RE0SBH,Clarks Women's Orinoco Club Short Shaft Boots,Stylish and comfortable enough to do 2 hour walk in. Highly recommend,"5.0 out of 5 stars
 Great boots",,5,Amazon Review,2022-04-03T23:00:00.000Z,,,clarks,Boots
R1SUDJOBQYFQFW,Clarks Women's Orinoco Club Short Shaft Boots,I've had this boot twice before. They are comfy and wear well. I have had to send for a half size bigger than normal this time as they were too tight across the top of my foot.,"5.0 out of 5 stars
 Great Boot",,5,Amazon Review,2022-03-26T00:00:00.000Z,,,clarks,Boots
R1EJVA7560LSLG,Clarks Women's Orinoco Club Short Shaft Boots,These are my second pair - the first pair lasted 15 years! Great pair of boots.,"5.0 out of 5 stars
 Awesome boots - a classic",,5,Amazon Review,2022-03-24T00:00:00.000Z,,,clarks,Boots
R19VDFL7DJ8KYY,Clarks Women's Orinoco Club Short Shaft Boots,"Great price for these boots , very comfortable","5.0 out of 5 stars
 Great boot",,5,Amazon Review,2022-03-13T00:00:00.000Z,,,clarks,Boots
R1RUPHDQ2OJ2NN,Clarks Women's Orinoco Club Short Shaft Boots,"I wear these boots every day to work and at the weekends, they are comfortable and look good too.","5.0 out of 5 stars
 Lovely boots!",,5,Amazon Review,2022-03-08T00:00:00.000Z,,,clarks,Boots
R1ZBYMZOMCBURM,Clarks Women's Orinoco Club Short Shaft Boots,"Bought for my wife. She says they fit well (8), they are very comfortable and look good.","5.0 out of 5 stars
 The wife loves them...",,5,Amazon Review,2022-02-20T00:00:00.000Z,,,clarks,Boots
R3FVG4W6GMRQ4J,Clarks Women's Orinoco Club Short Shaft Boots,"Very comfortable, good quality. Totally worth the price.","5.0 out of 5 stars
 Great quality and price",,5,Amazon Review,2022-02-08T00:00:00.000Z,,,clarks,Boots
R36IUFZGT74AYP,Clarks Women's Orinoco Club Short Shaft Boots,I really loved the boots but couldn’t get them on - I ordered my normal size and have never had this problem before,"3.0 out of 5 stars
 Far too small - I couldn’t even get my feet into them",,3,Amazon Review,2022-02-04T00:00:00.000Z,,,clarks,Boots
R15VF6JRT0OYA2,Clarks Women's Orinoco Club Short Shaft Boots,Sturdy comfortable affordable and a great colour,"4.0 out of 5 stars
 Very comfortable",,4,Amazon Review,2022-01-17T00:00:00.000Z,,,clarks,Boots
R3V8Q22NR99OJ0,Clarks Women's Orinoco Club Short Shaft Boots,I previously owned these and they needed replacing after after 4 years. I was really happy to find them here They are well made and very comfortable. My favourite boot,"5.0 out of 5 stars
 Look and feel great",,5,Amazon Review,2022-01-13T00:00:00.000Z,,,clarks,Boots
R146BYP5NQUQCY,Clarks Women's Orinoco Club Short Shaft Boots,"I liked the look and design of these boots but whereas many Clark’s footwear products are soft flexible leather, these were very hard and I could see them giving me blisters so I returned them.","3.0 out of 5 stars
 Nice looking boots but too hard",,3,Amazon Review,2022-01-05T00:00:00.000Z,,,clarks,Boots
R1FVS5TOUBBUJV,Clarks Women's Orinoco Club Short Shaft Boots,will return as the inner seam on right boot not finished and digs into heel. Have purchased a pair for the last 8 winters without any problems,"1.0 out of 5 stars
 Right boot inner seam not finished",,1,Amazon Review,2021-12-19T00:00:00.000Z,,,clarks,Boots
R23TB15ZIDT3PI,Clarks Women's Orinoco Club Short Shaft Boots,"The boot looks great on however, a little snug to get feet in initially but once on really comfortable and I'm sure the more I wear them, as they are leather, they will become more pliable!","5.0 out of 5 stars
 Comfortable and look great!",,5,Amazon Review,2021-12-09T00:00:00.000Z,,,clarks,Boots
RQ0SF5TPX0THC,Clarks Women's Orinoco Club Short Shaft Boots,Ordered a 1/2 size bigger but still too narrow - real shame as a lovely colour,"4.0 out of 5 stars
 Lovely boot but very narrow fit",,4,Amazon Review,2021-11-23T00:00:00.000Z,,,clarks,Boots
R3GVAWLZE0LJMY,Clarks Women's Orinoco Club Short Shaft Boots,They’re a really good shade if navy . The finish on them is good and they’re so comfortable. In fact this is my second pair,"5.0 out of 5 stars
 Great Chelsea boots .",,5,Amazon Review,2021-11-15T00:00:00.000Z,,,clarks,Boots
R3KTVAEVRRN0T2,Clarks Women's Orinoco Club Short Shaft Boots,"These were ordered to replace a pair of the same style I've have for at least five years and are now finally beyond rehealing. The pair recently recieved from Amazon appear to be of a child's size, far too small from every angle for my UK size 5s .

#update: 25th August 2021- Item returned to Amazon several days ago (stupidly didn't log this) but, not surprisingly, I'm still awaiting progress... I've never seen so many parcels in the delivery centre locally!!!

#update: 16th September 2021 - still no communication: still no refund. Amazon, what is supposed to happen here, please?

#update 11th October 2021 - Still no progress.

#update: 2nd OCTOBER 2021 - still no resolution.

#UPDATE 11th SEPTEMBER 2021 - NO SIGN WHATSOEVER OF RETURN & REFUND BEING PROCESSED: PLEASE ADVISE.

#update: 31st August 2021. It would great if someone somewhere could let me know how this is progressing, please?","1.0 out of 5 stars
 Aggravatingly Small.",,1,Amazon Review,2021-08-06T23:00:00.000Z,,,clarks,Boots
R1WEC6J610N97F,Clarks Women's Orinoco Club Short Shaft Boots,Very narrow fitting couldn't get my foot in boot returned them,"2.0 out of 5 stars
 Very small fit",,2,Amazon Review,2021-06-13T23:00:00.000Z,,,clarks,Boots
